Airport,City,Lat,Long,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun
Hartsfield-Jackson Atlanta Internation Airport,"Atlanta, US",33.635905,-84.431117,9513870,8699537,9094827,8310329,7790620,4612678,453362,846919,1586596
Beijing Capital International Airport,"Beijing, CN",40.047604,116.613244,8645300,8040000,8160200,7295800,1132000,898869,565331,1612500,1505800
Los Angeles International Airport,"Los Angeles, US",33.947812,-118.413758,7194836,6731520,7478418,6678451,5821460,3287411,299364,575728,1033861
O'Hare International Airport,"Chicago, US",41.9802,-87.908908,7540084,6590075,6880039,5881671,5576393,3416628,341670,700874,1225304
Heathrow Airport,"London, UK",51.482085,-0.453121,7064779,6233801,6696079,6099370,5441862,3106845,206324,227230,350283
Shanghai Pudong International Airport,"Shanghai, CN",31.162758,121.79476,6283600,5955300,6007400,5993100,1131500,952800,813437,1401299,1920114
Charles de Gaulle Airport,"Paris, FR",49.00948,2.556219,6645689,5662345,5784144,5520481,5071957,2501016,128152,204394,625963
Amsterdam Airport Schiphol,"Amsterdam, NL",52.309672,4.762127,6431443,5323590,5386203,5074773,4719769,2476372,126015,207827,471410
Hong Kong International Airport,"Hong Kong, CN",22.308988,113.915088,5374000,5026000,5715000,5719000,1883000,576000,32000,35000,59000
Incheon International Airport,"Seoul/Incheon, KR",37.449422,126.453246,5882345,5570470,6093340,6309369,3381632,609516,153514,137924,182523
Frankfurt Airport,"Frankfurt am Main, DE",50.055921,8.590379,6433845,5065742,4868689,4620966,4372562,2124005,188078,272826,599314
Denver International Airport,"Denver, US",39.846386,-104.674009,6073368,5304165,5788959,5198334,4908375,2923357,299098,834871,1750368
Indira Gandhi International Airport,"New Dehli, IN",28.556478,77.086735,6010628,6327760,6308530,6099761,5993157,3525315,20624,195185,1015529
Singapore Changi Aiport,"Changi, SG",1.362731,103.990149,5646643,5718386,6414495,5950940,3446022,1649662,25189,24504,48241
Suvarnabhumi Airport,"Bangkok, TH",13.710762,100.769012,5329782,5539559,6030737,6104143,3901223,1962348,62142,55280,187009
